id,name,oid,active
1," An Giang",16450,1
2," Bà Rịa - Vũng Tàu",16511,1
3," Bình Dương",16520,1
4," Bình Thuận",16410,1
5," Bình Định",16361,1
6," Bạc Liêu",16470,1
7," Bến Tre",16411,1
8," Cà Mau",16420,1
9," DakLak",16471,1
10," Gia Lai",16481,1
11," Hà Nam",16541,1
12," Hà Nội",16441,1
13," Hậu Giang",16430,1
14," Khánh Hòa",16510,1
15," Kiên Giang",16412,1
16," Kon Tum",16491,1
17," Long An",2,1
18," Lâm Đồng",16500,1
19," Nam Định",16540,1
20," Nghệ An",3,1
21," Ninh Bình",16542,1
22," Ninh Thuận",16400,1
23," Phú Yên",16490,1
24," Quảng Bình",16460,1
25," Quảng Nam",16482,1
26," Quảng Ngãi",6,1
27," Quảng Ninh",16442,1
28," Quảng Trị",5,1
29," Sóc Trăng",16480,1
30," Thanh Hóa",16530,1
31," Thừa Thiên Huế",4,1
32," Tiền Giang",16544,1
33," Thành phố Cần Thơ",7,1
34," Thành phố Hồ Chí Minh",1,1
35," Thành phố Đà Nẵng",16440,1
36," Trà Vinh",16521,1
37," Vĩnh Long",16381,1
38," Đồng Tháp",16380,1
45,"Đồng Nai",16550,1
46,"Đắk Nông",16551,1
47,"Bình Phước",16552,1
49,"Tây Ninh",16554,1
